based on onionoo data from 2015-05-29 13:00:00

+---------------------+---------------------+------+------+--------------------------+----------+---------+------+---------------------------------------+
| first_seen          | last_seen           | ORp  | DirP | platform                 | nickname | contact | CC   | as_name                               |
+---------------------+---------------------+------+------+--------------------------+----------+---------+------+---------------------------------------+
| 2015-05-18 06:00:00 | 2015-05-24 08:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | PUSAN CABLE TV SYSTEM CO., LTD.       |
| 2015-05-18 06:00:00 | 2015-05-25 10:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | Jeil CATV Co.,Ltd                     |
| 2015-05-19 06:00:00 | 2015-05-27 03:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | KRNIC                                 |
| 2015-05-19 06:00:00 | 2015-05-24 13:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | KRNIC                                 |
| 2015-05-19 06:00:00 | 2015-05-24 05:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | us   | Comcast Cable Communications, Inc.    |
| 2015-05-19 06:00:00 | 2015-05-26 08:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | LG DACOM Corporation                  |
| 2015-05-19 06:00:00 | 2015-05-27 04:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 8 | default  | NULL    | kr   | Korea Telecom                         |
| 2015-05-19 06:00:00 | 2015-05-24 12:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | Taegu Cable Network Co., Ltd          |
| 2015-05-26 05:00:00 | 2015-05-27 03:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | LG DACOM Corporation                  |
| 2015-05-26 05:00:00 | 2015-05-26 10:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | LG DACOM Corporation                  |
| 2015-05-26 05:00:00 | 2015-05-26 10:00:00 | 4437 | 9097 | Tor 0.2.6.7 on Windows 7 | default  | NULL    | kr   | Hanaro Telecom Inc.                   |
