(onionoo data from 2015-05-19 23:00:00)

+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
| first_seen          | orp  | dirp | as_name                             | platform              | IP              | nickname            | fingerprint                              |
+---------------------+------+------+-------------------------------------+-----------------------+-----------------+---------------------+------------------------------------------+
| 2014-11-17 03:00:00 | 9001 | 9030 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 97.107.142.218  | FreeAndRiseUp       | 488117CACA7F6A155F04F5E6C6FBC88A4AA78BEC |
| 2014-11-17 03:00:00 | 9010 | 9039 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 162.216.19.237  | Ananke              | 476BA5A9030F18BEC2152EA200F0E2D64080F5BF |
| 2014-11-17 18:00:00 | 9002 | 9031 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 97.107.142.218  | FreeAndRiseUpAgain  | 7775D1EFE456781B8CC5D24E7F8C2E133A94F3A1 |
| 2014-11-18 01:00:00 | 9003 | 9032 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.175.214.149  | Barnaby             | A0C30FD63B42DCDE4097C000D2F41AEEA158F064 |
| 2014-11-18 01:00:00 | 9004 | 9033 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 66.175.214.149  | Loki                | 66AFADF2FECF22254F725A20D88CE19489D28F04 |
| 2014-11-18 06:00:00 | 9005 | 9034 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 198.74.58.206   | Batman              | 216495D72D3EB16F52D0F98AE69FE21CB09040C3 |
| 2014-11-18 06:00:00 | 9006 | 9035 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 198.74.58.206   | Joker               | 7AEEC962B51CB620692E858080913A7E2E82A117 |
| 2014-11-18 06:00:00 | 9007 | 9036 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 198.74.62.107   | Scotch              | E87920A8FC9E22D32C3BF0F27F292BB3AD409E74 |
| 2014-11-18 06:00:00 | 9009 | 9038 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 162.216.19.237  | Chronos             | 687C9EC1042666EB9A5E4743CA7C77FAE50829A9 |
| 2014-11-18 10:00:00 | 9008 | 9037 | Net Access Corporation              | Tor 0.2.4.24 on Linux | 198.74.62.107   | Soda                | 444B8599B01AF08AAC541A6D991BF9BBE91FBA7F |
| 2014-11-21 02:00:00 | 9001 | 9030 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.187.94.69   | KillerHumanity      | C7D4695947E397DABFA601B046CFCEF8E7406156 |
| 2014-11-21 02:00:00 | 9002 | 9031 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.142.224  | SalineGodfather     | 43AC270F2F9BEDAE8065F1085A04E1B9CA885994 |
| 2014-11-21 02:00:00 | 9002 | 9031 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.133.64   | Tortuga             | 352F6955AE9419D694CAA7BBB1E4C52049FD56A0 |
| 2014-11-21 02:00:00 | 9003 | 9032 | KDDI CORPORATION                    | Tor 0.2.4.24 on Linux | 106.185.31.129  | VegetableJockey     | 157E63874CD42E6E1039B00402C68AE1BE066474 |
| 2014-11-21 02:00:00 | 9003 | 9032 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.134.183  | FrictionVerbose     | A8BD26E3E6709C47A532648A01968B1F918D38C8 |
| 2014-11-21 02:00:00 | 9004 | 9033 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.157.36   | RoundAlgae          | 55C309742BD94042D92B7A3C2079160523749788 |
| 2014-11-21 02:00:00 | 9004 | 9033 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.134.183  | SearingFreeway      | E4E5EA8C324C9EC4164056E0E9733D5A985E145B |
| 2014-11-21 02:00:00 | 9005 | 9034 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.144.28   | DazzleIntrospection | 8BDA322F9AB6E311E7E0B348B33650A4DEE251FD |
| 2014-11-21 02:00:00 | 9005 | 9034 | TELECITYGROUP INTERNATIONAL LIMITED | Tor 0.2.4.24 on Linux | 178.79.170.181  | GogglesSausage      | E114F1B726EDE11B29AAB8F82DF6BCB368927384 |
