data as of 2017-02-27 11:00.

Note: Sorted by first and second column (_not_ FP column).

+---------------------+---------------------+--------------+---------+-----------------+-------------+-----------------------------------------------------+-----------+
| first_seen          | last_restarted      | FP           | country | IP              | tor_version | as_name                                             | nickname  |
+---------------------+---------------------+--------------+---------+-----------------+-------------+-----------------------------------------------------+-----------+
| 2017-02-24 16:00:00 | 2017-02-24 15:31:22 | 25214D40CD17 | hk      | 124.248.229.138 | 0.2.8.9     | EDIS GmbH                                           | coast     |
| 2017-02-24 16:00:00 | 2017-02-24 15:33:47 | 25214D43D1FD | hk      | 124.248.229.140 | 0.2.8.9     | EDIS GmbH                                           | crop      |
| 2017-02-24 16:00:00 | 2017-02-24 15:35:18 | 25214D43CF66 | hk      | 124.248.238.194 | 0.2.8.9     | EDIS GmbH                                           | beach     |
| 2017-02-24 16:00:00 | 2017-02-24 15:39:10 | 25214D42EC60 | hk      | 124.248.238.197 | 0.2.8.9     | EDIS GmbH                                           | queen     |
| 2017-02-24 17:00:00 | 2017-02-24 15:51:43 | 7053866617EA | hk      | 124.248.229.142 | 0.2.8.9     | EDIS GmbH                                           | castle    |
| 2017-02-24 17:00:00 | 2017-02-24 16:23:33 | 705386676B8A | kr      | 121.170.147.65  | 0.2.8.9     | Korea Telecom                                       | wine      |
| 2017-02-24 17:00:00 | 2017-02-24 16:31:45 | 705386643CCF | kr      | 121.170.147.66  | 0.2.8.9     | Korea Telecom                                       | harbour   |
| 2017-02-24 17:00:00 | 2017-02-24 16:34:59 | 70538666062A | kr      | 211.116.49.64   | 0.2.8.9     | LG DACOM Corporation                                | hometown  |
| 2017-02-24 17:00:00 | 2017-02-24 16:45:17 | AB559BE35917 | kr      | 211.116.49.65   | 0.2.8.9     | LG DACOM Corporation                                | wheel     |
| 2017-02-24 18:00:00 | 2017-02-24 17:27:16 | AB559BE305A7 | NULL    | 103.44.66.2     | 0.2.8.9     | EDIS GmbH                                           | tennis    |
| 2017-02-24 18:00:00 | 2017-02-24 17:39:25 | AB559BE25926 | hk      | 103.27.126.28   | 0.2.8.9     | EDIS GmbH                                           | court     |
| 2017-02-24 18:00:00 | 2017-02-24 17:48:58 | AB559BE2CA98 | NULL    | 103.44.66.4     | 0.2.8.9     | EDIS GmbH                                           | waterfall |
