+-------------------------+----------+
| first seen date	  | bridges  |
+-------------------------+----------+
| 2017-02-23              |       24 |
| 2017-02-24              |       63 |
| 2017-02-25              |       28 |
| 2017-02-26              |       38 |
| 2017-02-27              |       30 |
| 2017-02-28              |       35 |
| 2017-03-01              |       71 |
| 2017-03-02              |       48 |
| 2017-03-03              |       27 |
| 2017-03-04              |       42 |
| 2017-03-05              |       31 |
| 2017-03-06              |       34 |
| 2017-03-07              |       33 |
| 2017-03-08              |       35 |
| 2017-03-09              |       38 |
| 2017-03-10              |       27 |
| 2017-03-11              |       32 |
| 2017-03-12              |       34 |
| 2017-03-13              |       43 |
| 2017-03-14              |       31 |
| 2017-03-15              |       25 |
| 2017-03-16              |       35 |
| 2017-03-17              |       33 |
| 2017-03-18              |       34 |
| 2017-03-19              |       34 |
| 2017-03-20              |       36 |
| 2017-03-21              |       42 |
| 2017-03-22              |       27 |
| 2017-03-23              |       40 |
| 2017-03-24              |       49 |
| 2017-03-25              |       54 |
| 2017-03-26              |       69 |
| 2017-03-27              |       58 |
| 2017-03-28              |       60 |
| 2017-03-29              |      166 | <<<<
| 2017-03-30              |      146 | <<<<
| 2017-03-31              |      135 | <<<<
| 2017-04-01              |      123 | <<<<
| 2017-04-02              |       91 |
| 2017-04-03              |       86 |
| 2017-04-04              |       58 |
| 2017-04-05              |       71 |
+-------------------------+----------+
