+---------------------+---------------------+------+------+-----------------------+---------------------------------------------+---------------------+-----------------------+------------------------------------------+
| first_seen          | last_restarted      | orp  | dirp | platform              | as_name                                     | nickname            | primary_ip            | fingerprint                              |
+---------------------+---------------------+------+------+-----------------------+---------------------------------------------+---------------------+-----------------------+------------------------------------------+
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9008 | 9037 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | AlongProxy          | 23.239.19.120         | F5E5478BC96AF37BFCE20DE562FD7F437F3BC990 |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9009 | 9038 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | IrateConcept        | 23.239.19.153         | 3C8FFB73B51B903C11D29D1E20012EB8485C7164 |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9005 | 9034 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | MightyMercury       | 192.155.95.122        | 3981ECBC3A9DABB2C087D60EAB5150F54F0E0475 |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9004 | 9033 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | DanalFrequent       | 173.230.131.207       | 69B6E785EAC83B672E253761BDD1F282BCA65459 |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9003 | 9032 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | CapitalDensity      | 173.230.131.207       | 9424270479BC1E7C6C6AB6B4132B78DF355993AF |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9001 | 9030 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | LocustModest        | 74.207.224.63         | 3AFA6261B0567043B06D8F8F39B12CA1EB8617EB |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9002 | 9031 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | AllergyOfUniverse   | 74.207.224.63         | 1B51455668E2EDAD1E09CDA992CAE51FF45197AA |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9006 | 9035 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | ProactiveBox        | 192.155.95.122        | C4292299D9C755795C2E052F74448A6847A9E231 |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9007 | 9036 | Tor 0.2.4.27 on Linux | Global Net Access, LLC                      | LimpyPurse          | 23.239.19.120         | 7B87C7BED4D1EE7FFB4C0E41FFB44E0C97C46808 |
