+------------+-----------------+-----+------+----------+----------+------+--------------------------------------+---------+
| joined     | IP              | orp | dirp | torv     | nickname | cc   | asn                                  | running |
+------------+-----------------+-----+------+----------+----------+------+--------------------------------------+---------+
| 2015-07-31 | 83.128.18.103   | 443 | 9030 | 0.2.4.23 | default  | nl   | CAIW Diensten B.V.                   |       0 |
| 2015-07-31 | 158.181.82.126  | 443 | 9030 | 0.2.4.23 | default  | de   | Tele Columbus AG                     |       0 |
| 2015-07-30 | 153.222.86.71   | 443 | 9030 | 0.2.4.23 | default  | jp   | NTT Communications Corporation       |       0 |
| 2015-07-30 | 108.129.39.33   | 443 | 9030 | 0.2.4.23 | default  | us   | BellSouth.net Inc.                   |       1 |
| 2015-07-30 | 178.8.221.145   | 443 | 9030 | 0.2.4.23 | default  | de   | Vodafone GmbH                        |       0 |
| 2015-07-29 | 80.244.36.191   | 443 | 9030 | 0.2.4.23 | default  | ru   | JSC SVYAZTELEKOM, Magnitogorsk, Rus  |       0 |
| 2015-07-29 | 212.197.168.32  | 443 | 9030 | 0.2.4.23 | default  | at   | A1 Telekom Austria AG                |       0 |
| 2015-07-29 | 43.228.96.40    | 443 | 9030 | 0.2.4.23 | default  | in   | Ishan's Network                      |       0 |
| 2015-07-29 | 178.27.232.191  | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-07-29 | 91.55.33.103    | 443 | 9030 | 0.2.4.23 | default  | de   | Deutsche Telekom AG                  |       0 |
| 2015-07-29 | 91.69.192.38    | 443 | 9030 | 0.2.4.23 | default  | fr   | Societe Francaise du Radiotelephone  |       1 |
| 2015-07-29 | 95.110.3.118    | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Bashinformsvyaz                 |       0 |
| 2015-07-28 | 46.165.34.50    | 443 | 9030 | 0.2.4.23 | default  | ru   | Nizhnetagilskie Kompyuternye Seti L  |       0 |
| 2015-07-28 | 188.195.74.60   | 443 | 9030 | 0.2.4.23 | default  | de   | Kabel Deutschland Vertrieb und Serv  |       0 |
| 2015-07-28 | 188.113.51.2    | 443 | 9030 | 0.2.4.23 | default  | ru   | OJSC Rostelecom                      |       0 |
| 2015-07-28 | 42.116.55.207   | 443 | 9030 | 0.2.4.23 | default  | vn   | The Corporation for Financing & Pro  |       0 |
