CW   adv_mbps GuardP MiddleP ExitP     Family ID                                 Name
--------------------------------------------------------------------------------------------------------
2.4023% 2061 0.0000% 0.0000% 7.8937%   5C1E076A17578A8D734F977D53D28D409D546773  TvdW.eu
2.0787% 1552 0.0000% 0.0000% 6.8304%   BDA7A91FF3806DE5109FDAE74CFEFB3BABB9E10F  AccessNow.org
1.5559% 2128 0.2789% 0.1728% 4.5959%   379FB450010D17078B3766C2273303C358C3A442  enn.lu
1.1871% 1001 2.1051% 1.3077% 0.0000%   0266B0660F3F20A7D1F3D8335931C95EF50F6C6B  Boris Nagaev
1.1610% 1310 0.5270% 1.2257% 1.8118%   DD8BD7307017407FCC36F8D04A688F74A0774C02  DFRI.se
1.0685% 888  0.0000% 0.0000% 3.5108%   5CECC5C30ACC4B3DE462792323967087CC53D947  PrivacyRepublic.org
1.0447% 1174 1.8543% 1.1490% 0.0000%   F5D03B59A330BE399EAA793FA35353ADD7E4A8F9  afo-tm.org
0.8320% 996  0.3254% 1.1008% 1.1037%   32EE911D968BE3E016ECA572BB1ED0A9EE43FC2F  DFRI.se    (likely MyFamily misconfiguration)
0.8317% 1203 1.1454% 1.2457% 0.0000%   A37C47B03FF31CA6937D3D68366B157997FE7BCD  torpids
0.7594% 4469 0.0000% 2.1835% 0.0000%   F528DED21EACD2E4E9301EC0AABD370EDCAD2C47  ryror
0.7588% 733  0.0000% 0.0000% 2.4932%   81B75D534F91BFB7C57AB67DA10BCEF622582AE8  hartvoorinternetvrijheid
0.6988% 703  1.1756% 0.8333% 0.0000%   4A81BD9DF96D14B2573F055313166F5E346FED93  www.perfect-privacy.com
0.6985% 522  0.0000% 0.0000% 2.2953%   578E007E5E4535FBFEF7758D8587B07B4C8C5D06  nos-oignons.net
0.6724% 557  0.0150% 0.0093% 2.1816%   72A4E600D86B49E7FB8F1C3EE78158824A904267  gtor.org
0.6338% 896  0.0000% 0.0000% 2.0827%   C1B48F2210CBF1472B50A94A06C5B136644F7466
0.6253% 699  0.9630% 0.8347% 0.0000%   B71CFEB11D541D40D9C6EB74F296BB897AD0903F
0.5933% 730  1.0134% 0.6924% 0.0000%   5C2DAD6854DD60D1722E47C0299AFE8D03632C6D
0.5846% 685  1.0377% 0.6429% 0.0000%   B83DC1558F0D34353BB992EF93AFEAFDB226A73E
0.5165% 439  0.0000% 0.0000% 1.6972%   E187D52F9EF0630A7E17CC4016EB49DEAB684F42
0.4992% 348  0.8840% 0.5511% 0.0000%   7DF22E97F13B28727D4FC7495E0933EB23012AE8
0.4885% 567  0.5076% 0.8968% 0.0000%   C309A31AD772FFDD0805C9FECB6D4748A7CBF684
0.4866% 806  0.8574% 0.5416% 0.0000%   5DEF69E67BAF2CF26D36B5AC2A925BB2EA376593
0.4622% 499  0.8136% 0.5152% 0.0000%   BF0FB582E37F738CD33C3651125F2772705BB8E8
0.4618% 368  0.0000% 0.0000% 1.5174%   44B9D9C24E3C04054AE0A47080CC55461A1AC116
0.4488% 400  0.4809% 0.8094% 0.0000%   B3E73C44BC02AE4DB309CA209E121B0B025552CE
0.3944% 481  0.1899% 0.1176% 0.9443%   874786AE2D973602041D4A1A145D2A8435C88B6F
0.3841% 618  0.1330% 0.0824% 1.0161%   6C25F0679F600AC3E2BA7619C2316B3B1A5CB742
0.3744% 362  0.6618% 0.4147% 0.0000%   231D79B02E487C281DE7D2AD51381E289C547030
0.3581% 439  0.6357% 0.3939% 0.0000%   439D0447772CB107B886F7782DBC201FA26B92D1
0.3496% 314  0.6205% 0.3845% 0.0000%   5665A3904C89E22E971305EE8C1997BCA4123C69
0.3366% 518  0.5975% 0.3702% 0.0000%   ACD889D86E02EDDAB1AFD81F598C0936238DC6D0
0.3311% 329  0.5877% 0.3642% 0.0000%   B17AD1C4D985D70D948379D20772D60D4BA8D362
0.3250% 208  0.5768% 0.3574% 0.0000%   322C6E3A973BC10FC36DE3037AD27BC89F14723B
0.3020% 498  0.0000% 0.0000% 0.9925%   C1CFB375BED9D7506569E07B01753BC67EE87AC2
0.2771% 265  0.0000% 0.0000% 0.9104%   749EF4A434DFD00DAB31E93DE86233FB916D31E3
0.2744% 277  0.0000% 0.0000% 0.9017%   C79552275DFCD486B942510EF663ED36ACA1A84B
0.2685% 162  0.4766% 0.2953% 0.0000%   338A647AE5C971B11AE9F506C134468DDD0D201A
0.2587% 287  0.0000% 0.0000% 0.8501%   A3279B1AC705C9F3478947598CF0557B81E12DE1
0.2511% 430  0.4457% 0.2761% 0.0000%   C04BE1845AA80AA49D5353B52EE6E35B4CF1547B
0.2498% 207  0.4434% 0.2747% 0.0000%   D92D7BF094928281D12D9DA724CD22665D75D39F
0.2483% 293  0.4408% 0.2731% 0.0000%   DDD7871C1B7FA32CB55061E08869A236E61BDDF8
0.2429% 201  0.4311% 0.2671% 0.0000%   B731E7E488E657F434E4D5E25A688928FC7F2313
0.2162% 288  0.3838% 0.2378% 0.0000%   CEC49773C9420F8476AB6C31EC7A649E2633E13C
0.2012% 206  0.0000% 0.0000% 0.6612%   95E8241450C143D639C52687D919E5A57B396660
0.1961% 264  0.0000% 0.0000% 0.6445%   E1E922A20AF608728824A620BADC6EFC8CB8C2B8
0.1960% 304  0.0000% 0.0000% 0.6440%   51377C496818552E263583A44C796DF3FB0BC71B
0.1909% 162  0.0000% 0.0000% 0.6272%   8BF22BEA5F854F2BB2E09C71260ADF590D355E36
0.1816% 169  0.3224% 0.1998% 0.0000%   8CA02DF618927EA7CD543D7E95D095963AD82E88
0.1798% 322  0.0000% 0.0000% 0.5906%   4BE3235434BF304FA72AE6CB25652D8FBF01BCC7
0.1790% 183  0.3177% 0.1969% 0.0000%   CBEFF7BA4A4062045133C053F2D70524D8BBE5BE
0.1782% 139  0.3163% 0.1960% 0.0000%   4497BF20F7D9F5C727DE83552D14C5E28D8EBBD6
0.1556% 204  0.2763% 0.1712% 0.0000%   B198C0B4B8C551F174FBB841A172616E3DB3124D
0.1525% 257  0.0362% 0.0224% 0.4342%   911B8AEB4EB8AB38A9836B629CCE32F14D202644
0.1488% 178  0.2641% 0.1638% 0.0000%   334DF2164322B98FCC567BC444947B74AC92DAEA
0.1444% 313  0.2563% 0.1588% 0.0000%   12259E0A607EE888B23FBFA613C2F99E32408445
0.1437% 150  0.0000% 0.0000% 0.4721%   B912D67FCB5A968590C9BDCA37B7D482A994B868
0.1411% 128  0.1925% 0.1193% 0.1072%   6FDD6B557E7E5BDC136DB199F0BB80805C23C567
0.1365% 134  0.0000% 0.0000% 0.4485%   5024A9FBD756C1AC294FC62EB007E32AEE778C06
0.1334% 178  0.2368% 0.1467% 0.0000%   D8DFAB85638EB11648B05AE64E77EC11E3267238
0.1318% 227  0.2333% 0.1457% 0.0000%   F1A7CE1B1D558DC24E39B6B30FF217ECCEECF141
0.1248% 208  0.0000% 0.0000% 0.4099%   D42EE35F9B62769E782DEA2FC6358ABFAFE7DB66
0.1225% 98  0.2174% 0.1347% 0.0000%   0B4464C41BCA8265ECB34771AE812611A09CA6B0
0.1199% 190  0.2089% 0.1358% 0.0000%   7E32DBD533A30D724FC005EB2B9F8900A69919FB
0.1180% 118  0.2095% 0.1298% 0.0000%   6FC085CAA20A5FFBBC4872C542E91CA9C8119E5B
0.1072% 97  0.1803% 0.1278% 0.0000%   5143C6BCE96F76E39C152C7DACA82E55CC46D4A5
0.1036% 146  0.1545% 0.1433% 0.0000%   E4E27D80236B421FAEA25797495B57E36FF9F7C2
0.1017% 282  0.1378% 0.0854% 0.0791%   3B4FA23831CC69C136418B0305381A5103A3B470
0.1016% 146  0.1803% 0.1117% 0.0000%   2A9D3808E1DDD74E0C76952F4729F93E8DDD8655
0.1000% 92  0.1773% 0.1101% 0.0000%   5CE3AD8AD04ADE66C0037A3CF5F7F7A40D48A20B
0.0974% 156  0.1729% 0.1071% 0.0000%   4C0B7A04E000B02E76B88AFCA9ED3ED3D85D3A53
0.0948% 89  0.0000% 0.0000% 0.3116%   AEA43CB1E47BE5F8051711B2BF01683DB1568E05
0.0948% 72  0.0850% 0.0527% 0.1540%   8D3E84BF62FBAB4B647D5614E5A811D8F4CC87D1
0.0941% 118  0.1275% 0.1429% 0.0000%   254EB51B0B85B2FB8A70997875DA493420A30458
0.0928% 122  0.1093% 0.0677% 0.1026%   F99116A2ADB8A1E2A05399F6BE0C1B08436A62F6
0.0920% 128  0.0188% 0.2457% 0.0000%   902F781A75D3CC0618BD81C55968F60633B54211
0.0910% 84  0.1293% 0.0801% 0.0597%   941985CDE2DC9D67FEC0703A8FFD061E3B4BA8A9
0.0879% 117  0.1561% 0.0967% 0.0000%   C59F04BA68B5AF409319E662A8426D70B0CF9BC0
0.0865% 116  0.1536% 0.0952% 0.0000%   7E2F94EA9214EC6CD05A0FC1BA51A0FA30FC83C7
0.0864% 107  0.0398% 0.0246% 0.2102%   3A5C5D729D34D2771F38C474BBE0B14650C20B1C
0.0833% 176  0.0000% 0.0000% 0.2738%   E4D1F25DFBE484208866BA4A1A958B73127CB0AD
0.0806% 127  0.1261% 0.0781% 0.0312%   E36C680A31C70B39FEB617E91A0F8F2293420167
0.0798% 165  0.0000% 0.0105% 0.2502%   47ACD6EC42CC82157ED02C20F281EA30DEDA6FF7
0.0791% 114  0.0477% 0.1798% 0.0000%   2546FD2B50165C1567A297B02AD73F62DEA127A0
0.0788% 120  0.1080% 0.1185% 0.0000%   A95EA1822AEC5E909530AD2D33C1E08500B10D10
0.0784% 128  0.1392% 0.0863% 0.0000%   ABCB4965F1FEE193602B50A365425105C889D3F8
0.0770% 82  0.1366% 0.0846% 0.0000%   B2CB9E5C80367C9026A806EC4801E22425AA7E8A
0.0766% 71  0.1336% 0.0828% 0.0044%   7746EE6983996154409AF8ED9D47F7E4031327C4
0.0755% 122  0.0000% 0.0000% 0.2479%   ECA172090FEBE56ECA701CEF8843BAD05A7B4A9E
0.0726% 115  0.1288% 0.0798% 0.0000%   F3416AAAC641B106022BC051F64DBBA18C52D8CF
0.0720% 174  0.1279% 0.0792% 0.0000%   4B8C39A51FD0BE3F91E0A1C3F5AA67A17EC56EB7
0.0698% 166  0.0000% 0.0000% 0.2294%   31D01A8CD3799E0CB6A56D8F149846A1B0D90283
0.0674% 129  0.1196% 0.0741% 0.0000%   64846B8BAEDB6234FEB18E18124CC9C9C279C254
0.0659% 56  0.1166% 0.0730% 0.0000%   8BB8854BAF5568F3A74750E860923B6898882F14
0.0659% 126  0.1170% 0.0725% 0.0000%   3B962433E8CB39A2F906532DD462FE75BC378DFD
0.0652% 150  0.0000% 0.1874% 0.0000%   3C687863C36BE05F8588F812C29BF34654802A23
0.0643% 82  0.1141% 0.0707% 0.0000%   D755661C6655192F5DCFA48F34B00436B9258FD3
0.0642% 124  0.1138% 0.0705% 0.0002%   F80FDE27EFCB3F6A7B4E2CC517133DBFFA78BA2D
0.0641% 95  0.1138% 0.0705% 0.0000%   3083C554AF797EB2072A2734C1551641FB2FCD74
0.0636% 115  0.1021% 0.0807% 0.0000%   9F7D6E6420183C2B76D3CE99624EBC98A21A967E
0.0609% 144  0.0000% 0.0000% 0.2001%   AFCDCFE302E547D10FBD7E2FA707E6C12C6A934B
0.0603% 69  0.0000% 0.1734% 0.0000%   BA5F9F82F03E970A6C8B6D2B9A5881E4486A87F7
0.0568% 50  0.1002% 0.0630% 0.0000%   908E92C6E34B35D4230C46F8604D0BF8B36F2BE4
0.0561% 53  0.0996% 0.0617% 0.0000%   69699472490CC80DCBA8F3A8F6C191A3E811AFA3
0.0561% 147  0.0582% 0.0360% 0.0767%   41FFC361F0D51F3752E9481B075D5508D21C8D12
0.0555% 48  0.0000% 0.0000% 0.1823%   F6E53C99965EB36B984BC54728174005B332BBD3
0.0549% 64  0.0975% 0.0604% 0.0000%   E8EE2962323BF5629317FBE83C0AA96980A5FC9D
0.0543% 76  0.0000% 0.0000% 0.1785%   F22C5FDC6C720C24B64FC2827BFD3E60566E94AE
0.0526% 68  0.0000% 0.1514% 0.0000%   C32375DC5BFEECE8E29DB62E41E03FB16F8AC5CA
0.0504% 82  0.0000% 0.0000% 0.1656%   63F054E1F865D5694C61B4E8F4153B16F50D0CE2
0.0503% 58  0.0880% 0.0565% 0.0000%   91521DDF0CBC4614E8B550EA4955FF37E4E300D4
0.0493% 82  0.0000% 0.1416% 0.0000%   E0B98FD720187048F9666141CD29BD258C2E8826
0.0490% 108  0.0869% 0.0539% 0.0000%   863D45319121DE1BB4F50DE7931FEC422FBFD76E
0.0463% 100  0.0822% 0.0509% 0.0000%   DDD18D4FEE59629586095E131B6C72C201EA1E69
0.0451% 71  0.0596% 0.0369% 0.0379%   3C6A7B531F311E53D88D5FEF414596F2BBA76620
0.0450% 64  0.0605% 0.0688% 0.0000%   5A15CB5E333466ADAF9E6D097064D4563C7836D7
0.0449% 79  0.0797% 0.0494% 0.0000%   DE15FF8D795ABED0EED2163D75C0D1B3CD968C7F
0.0420% 54  0.0741% 0.0466% 0.0000%   B1818E9D2B7D552732C0B7A709DBA114A7F4FBAD
0.0407% 49  0.0376% 0.0233% 0.0641%   B6C7FAFFFCEFC30541D38F33E25B1E0DB135C5D8
0.0406% 80  0.0721% 0.0447% 0.0000%   D8AF5FFD3ED1D4CCDACBABCF8C44D3606042B871
0.0393% 77  0.0697% 0.0432% 0.0000%   C68B7E21DD0F2F3E070AEC67305278F0E4920A83
0.0366% 80  0.0000% 0.1052% 0.0000%   C342953C9A1BEA8753349C6D1291CC3B8387FD85
0.0352% 56  0.0614% 0.0398% 0.0000%   01EB5CFEC6EFA270C8F39839AEFD3018DA4A45F8
0.0350% 53  0.0622% 0.0385% 0.0000%   230A8B2A8BA861210D9B4BA97745AEC217A94207
0.0343% 74  0.0000% 0.0003% 0.1124%   C1B802AC197A5CB7EADCCCD4DC30BA6ED6D02426
0.0343% 67  0.0000% 0.0385% 0.0687%   F4003DCD3DE07FC36617F7A15EF03B302E442724
0.0339% 46  0.0602% 0.0373% 0.0000%   B15087F4CFA54D60CA84F5DE2069958B697C5845
0.0309% 57  0.0000% 0.0275% 0.0699%   3722FEED88FBA28CB752E17A5BACAB589B85E761
0.0307% 46  0.0545% 0.0338% 0.0000%   D8B7A3A6542AA54D0946B9DC0257C53B6C376679
0.0304% 57  0.0522% 0.0353% 0.0000%   5ADB18844A1FBC6439B0E621F6365652C007A5B0
0.0304% 52  0.0519% 0.0355% 0.0000%   44A3DEE7FB22EEAF70C162F33E916B02DE6B20A2
0.0298% 58  0.0000% 0.0000% 0.0978%   AD1E867A8068D7470D721B367192979FCF48F625
0.0296% 40  0.0000% 0.0000% 0.0973%   B5D4343A9D5989B19678E5B700825DF865907D7B
0.0292% 32  0.0514% 0.0325% 0.0000%   1A6B8B8272632D8AD38442027F822A367128405C
0.0291% 56  0.0000% 0.0000% 0.0955%   9EBD054D8FCFCB8662FD33A7222380279B5C5A99
0.0288% 73  0.0000% 0.0827% 0.0000%   30B842307844DC160DEBF8A077955F86661D465D
0.0288% 52  0.0511% 0.0316% 0.0000%   FDB65009610C5157384C9F322B0FD1913BA8A533
0.0288% 32  0.0349% 0.0479% 0.0000%   2A0E256F10E09BB6C44866DA9EF57EBF371FFE5A
0.0281% 52  0.0000% 0.0807% 0.0000%   6A16D36A8DC2D457970A30A1836C4303344B062D
0.0265% 51  0.0466% 0.0294% 0.0000%   1BF05882C1C103731DB2CA7E4D07302CEDED2256
0.0263% 64  0.0468% 0.0290% 0.0000%   9B94CD0B7B8057EAF21BA7F023B7A1C8CA9CE645
0.0259% 48  0.0451% 0.0294% 0.0000%   FD1871854BFC06D7B02F10742073069F0528B5CC
0.0257% 48  0.0000% 0.0738% 0.0000%   187AD4F5A0A6F368259695BC686A8F5ED349491E
0.0257% 29  0.0453% 0.0285% 0.0000%   262517E2AE133C50C159A0F8704B20867A954C56
0.0256% 32  0.0454% 0.0281% 0.0000%   3F6A91B4F96A895CF496F99B622A9D7A74B22222
0.0248% 111  0.0217% 0.0496% 0.0000%   EE0B126877970DED2C8818D31B84C302C2F99FB3
0.0243% 39  0.0432% 0.0268% 0.0000%   0EF5E5FFC5D1EABCBDA1AFF6F6D6325C5756B0B2
0.0238% 48  0.0398% 0.0287% 0.0000%   6D6A92E264BFCA3D0D6A2EAFCFC6728609226C4E
0.0231% 67  0.0000% 0.0000% 0.0759%   40EF2A956B7545A123AC68B985F3CBB3184ED838
0.0220% 36  0.0288% 0.0343% 0.0000%   ACDC9C4926947E32EAD17A8B5B909DF2949974D3
0.0218% 34  0.0000% 0.0625% 0.0002%   D941D380E5228E7B4D372AF4D484629A96DC48B9
0.0215% 44  0.0382% 0.0237% 0.0000%   DD85503F2D1F52EF9EAD621E942298F46CD2FC10
0.0210% 28  0.0000% 0.0379% 0.0256%   92B587BF8EC0B36AB07D0575C4F945223E714A5C
0.0201% 40  0.0332% 0.0245% 0.0000%   932AB4850985B125992C19D2FCBE457D88CF957F
0.0199% 30  0.0326% 0.0202% 0.0051%   7C1F6A238E8155AE10CBA88D225CCB94722BF645
0.0199% 21  0.0337% 0.0235% 0.0000%   8125F606841648C40C1F3D2080BBDBDB3493FB13
0.0198% 32  0.0182% 0.0387% 0.0000%   73E0EAD7C2A9E9603C0DB7EE4743CCEF935EAC3D
0.0194% 55  0.0342% 0.0214% 0.0000%   489D94333DF66D57FFE34D9D59CC2D97E2CB0053
0.0192% 74  0.0291% 0.0262% 0.0000%   BC293E1202EEB725050D8E80D5511CF1E6C073DE
0.0184% 26  0.0000% 0.0529% 0.0000%   EC01EA6749C9FF44ECA4F1AD08A6AA2AD10BB2CF
0.0183% 17  0.0318% 0.0208% 0.0000%   842BB06E25CB3991CD200C1387334F52DD5DD9C5
0.0179% 75  0.0000% 0.0359% 0.0179%   F19621477EB01E51424414C03E4222465DBDB560
0.0175% 40  0.0310% 0.0192% 0.0000%   9EA970E0EBB0088CF013939382FD1E898A7D0E74
0.0174% 32  0.0000% 0.0499% 0.0000%   DCAA1CED7183B561D18CF580BE9933BD9168D101
0.0167% 61  0.0271% 0.0208% 0.0000%   2B7DF54480AAD557644F7113A2B9C9E49826D90E
0.0166% 44  0.0294% 0.0182% 0.0000%   4187F644E99B846902722AFF12BD40B89C53AC2D
0.0166% 31  0.0000% 0.0000% 0.0545%   13101F69F75E3C431D2CC6FC862026BB22181BB2
0.0166% 16  0.0000% 0.0000% 0.0545%   BF96E4AE05983DA877CAC1981E68BECCCADD8E48
0.0162% 47  0.0258% 0.0207% 0.0000%   06BA3A52D61FCF29C6F26E1953B050B61BD84F95
0.0160% 24  0.0216% 0.0245% 0.0000%   E4A6B17D95FFF623083DFD10E643FF0F1F70FC70
0.0156% 33  0.0202% 0.0248% 0.0000%   BCEF908195805E03E92CCFE669C48738E556B9C5
0.0156% 24  0.0207% 0.0240% 0.0000%   FFF78C44BA6E6B6F7525095BBE14EF7CBEB89744
0.0155% 17  0.0270% 0.0176% 0.0000%   0756B7CD4DFC8182BE23143FAC0642F515182CEB
0.0153% 42  0.0000% 0.0440% 0.0000%   91361C96C91204B6BDABBB964C912FF6E9EB4C58
0.0152% 17  0.0265% 0.0171% 0.0000%   F0A97AAF092015293EC63D7E75D9C2B70B7C360B
0.0150% 39  0.0248% 0.0184% 0.0000%   CBE48B806A0FAA8D7496EB4EFDBFCDBAE0E839B8
0.0150% 33  0.0236% 0.0197% 0.0000%   7D436AD765339FA581D190911EC1E60E8DA63634
0.0146% 45  0.0000% 0.0000% 0.0480%   383D6E34D9BEA92E97092B134A708EEF476DF2E4
0.0144% 32  0.0226% 0.0189% 0.0000%   EC1F5CD73506F631A79046DB09A4164D21FC4908
0.0139% 54  0.0000% 0.0400% 0.0000%   B5B92286D7C042DE85CF8D500F095A0BD8775990
