+------------+---------------+
| first_seen | bridged added |
+------------+---------------+
| 2008-11-18 |             1 |
| 2008-12-28 |             1 |
| 2009-05-27 |             1 |
| 2009-06-22 |             1 |
| 2010-03-06 |             1 |
| 2010-10-16 |             1 |
| 2010-11-17 |             1 |
| 2011-01-29 |             1 |
| 2011-03-29 |             1 |
| 2011-05-30 |             1 |
| 2011-05-31 |             1 |
| 2011-06-04 |             1 |
| 2011-10-23 |             1 |
| 2011-11-02 |             1 |
| 2011-11-03 |             1 |
| 2011-11-15 |             1 |
| 2011-12-09 |             1 |
| 2011-12-23 |             1 |
| 2012-01-07 |             1 |
| 2012-01-10 |             1 |
| 2012-01-18 |             1 |
| 2012-02-02 |             1 |
| 2012-02-03 |             2 |
| 2012-02-10 |             1 |
| 2012-02-11 |             1 |
| 2012-02-12 |             1 |
| 2012-02-15 |             3 |
| 2012-02-21 |             2 |
| 2012-03-05 |             1 |
| 2012-03-09 |             2 |
| 2012-03-10 |             1 |
| 2012-03-23 |             1 |
| 2012-03-29 |             1 |
| 2012-03-30 |             2 |
| 2012-04-05 |             2 |
| 2012-04-08 |             1 |
| 2012-04-14 |             1 |
| 2012-04-15 |             1 |
| 2012-04-18 |             2 |
| 2012-04-24 |             1 |
| 2012-05-01 |             1 |
| 2012-05-02 |             1 |
| 2012-05-14 |             1 |
| 2012-05-18 |             2 |
| 2012-05-27 |             1 |
| 2012-06-04 |             2 |
| 2012-06-08 |             2 |
| 2012-06-13 |             1 |
| 2012-06-24 |             4 |
| 2012-06-26 |             4 |
| 2012-06-29 |             2 |
| 2012-06-30 |             1 |
| 2012-07-04 |             1 |
| 2012-07-29 |             2 |
| 2012-07-30 |             1 |
| 2012-07-31 |             2 |
| 2012-08-06 |             2 |
| 2012-08-19 |             2 |
| 2012-09-03 |             1 |
| 2012-09-07 |             1 |
| 2012-09-11 |             2 |
| 2012-09-13 |             3 |
| 2012-09-15 |             1 |
| 2012-09-17 |             1 |
| 2012-09-18 |             3 |
| 2012-09-21 |             2 |
| 2012-09-24 |             1 |
| 2012-09-25 |             2 |
| 2012-10-07 |             2 |
| 2012-10-16 |             2 |
| 2012-10-18 |             2 |
| 2012-10-21 |             2 |
| 2012-10-30 |             2 |
| 2012-11-14 |             2 |
| 2012-12-07 |             1 |
| 2012-12-13 |             1 |
| 2012-12-17 |             1 |
| 2012-12-20 |             2 |
| 2012-12-25 |             1 |
| 2012-12-27 |             1 |
| 2012-12-30 |             1 |
| 2013-01-31 |             1 |
| 2013-02-05 |             2 |
| 2013-02-20 |             1 |
| 2013-02-23 |             2 |
| 2013-02-24 |             1 |
| 2013-02-27 |             1 |
| 2013-04-09 |            12 |
| 2013-04-18 |             1 |
| 2013-04-19 |             1 |
| 2013-04-20 |             1 |
| 2013-04-21 |             2 |
| 2013-04-24 |             1 |
| 2013-05-10 |             1 |
| 2013-05-12 |             1 |
| 2013-05-15 |             1 |
| 2013-05-18 |             1 |
| 2013-05-19 |             1 |
| 2013-05-26 |             2 |
| 2013-06-09 |             1 |
| 2013-06-11 |             1 |
| 2013-06-17 |             2 |
| 2013-06-21 |             1 |
| 2013-06-22 |             1 |
| 2013-06-25 |             1 |
| 2013-06-26 |             1 |
| 2013-07-01 |             1 |
| 2013-07-14 |             1 |
| 2013-07-17 |             1 |
| 2013-07-20 |             1 |
| 2013-08-05 |             1 |
| 2013-08-13 |             1 |
| 2013-09-09 |             1 |
| 2013-09-11 |             1 |
| 2013-09-19 |             1 |
| 2013-09-20 |             2 |
| 2013-09-29 |             1 |
| 2013-10-04 |             1 |
| 2013-11-12 |             1 |
| 2013-11-19 |             1 |
| 2013-11-23 |             1 |
| 2013-11-25 |             1 |
| 2013-11-28 |             1 |
| 2013-11-29 |             1 |
| 2014-01-05 |             1 |
| 2014-01-20 |             1 |
| 2014-03-02 |             1 |
| 2014-03-10 |             1 |
| 2014-03-22 |             2 |
| 2014-03-23 |             1 |
| 2014-03-24 |             1 |
| 2014-04-08 |            12 |
| 2014-04-09 |             2 |
| 2014-04-10 |            40 |
| 2014-04-11 |             6 |
| 2014-04-12 |             5 |
| 2014-04-22 |             3 |
| 2014-04-23 |             3 |
| 2014-04-28 |             1 |
| 2014-04-30 |             1 |
| 2014-05-03 |             1 |
| 2014-05-08 |             1 |
| 2014-05-10 |             1 |
| 2014-05-20 |             2 |
| 2014-05-28 |             1 |
| 2014-06-06 |             1 |
| 2014-06-07 |             1 |
| 2014-06-08 |             1 |
| 2014-06-09 |             1 |
| 2014-06-10 |             1 |
| 2014-06-12 |             1 |
| 2014-06-16 |             1 |
| 2014-06-22 |             1 |
| 2014-06-23 |             1 |
| 2014-06-25 |             2 |
| 2014-06-30 |             1 |
| 2014-07-02 |             1 |
| 2014-07-12 |             1 |
| 2014-07-14 |             1 |
| 2014-07-15 |             2 |
| 2014-07-22 |             2 |
| 2014-07-24 |             2 |
| 2014-07-25 |             4 |
| 2014-07-26 |             2 |
| 2014-07-30 |             1 |
| 2014-07-31 |             1 |
| 2014-08-03 |             1 |
| 2014-08-06 |             1 |
| 2014-08-11 |             1 |
| 2014-08-17 |             1 |
| 2014-08-19 |             1 |
| 2014-08-21 |             1 |
| 2014-08-30 |             1 |
| 2014-08-31 |             2 |
| 2014-09-01 |             1 |
| 2014-09-05 |             1 |
| 2014-09-09 |             1 |
| 2014-09-16 |             3 |
| 2014-09-20 |             2 |
| 2014-10-09 |             1 |
| 2014-10-12 |             1 |
| 2014-10-16 |             1 |
| 2014-10-17 |             1 |
| 2014-11-01 |             1 |
| 2014-11-02 |             1 |
| 2014-11-04 |             1 |
| 2014-11-05 |             1 |
| 2014-11-10 |             1 |
| 2014-11-20 |             2 |
| 2014-11-30 |             2 |
| 2014-12-13 |             1 |
| 2014-12-14 |             1 |
| 2014-12-19 |             1 |
| 2014-12-20 |             1 |
| 2014-12-22 |             2 |
| 2014-12-23 |             1 |
| 2014-12-29 |             1 |
| 2014-12-30 |             3 |
| 2015-01-06 |             1 |
| 2015-01-10 |             1 |
| 2015-01-12 |             1 |
| 2015-01-15 |             2 |
| 2015-01-21 |             1 |
| 2015-01-22 |             1 |
| 2015-01-23 |             2 |
| 2015-01-29 |             2 |
| 2015-01-30 |             1 |
| 2015-02-03 |             1 |
| 2015-02-04 |             2 |
| 2015-02-07 |             1 |
| 2015-02-09 |             1 |
| 2015-02-12 |             1 |
| 2015-03-03 |             2 |
| 2015-03-10 |             1 |
| 2015-03-11 |             2 |
| 2015-03-15 |             2 |
| 2015-03-16 |             1 |
| 2015-03-17 |             2 |
| 2015-03-23 |             1 |
| 2015-03-25 |             1 |
