https://lists.torproject.org/pipermail/tor-consensus-health/2015-June/005842.html

NOTE: The following table shows relays having the same *nickname* 
as the once reported by doctor, *NOT* having the same fingerprint.
(since fingerprints listed by doctor are not yet available via onionoo, apparently to new)
I had to exclude generic names like default and Unnamed (that results in a total count difference of 6 relays)

Relays were added in mainly 3 blocks:
- 2014-11-17--21
- 2014-12-22--23
- 2015-01-28

Since relays have a new fingerprint but an unchanged config they might lost there datadir for some reason.

+---------------------+---------------------+------+------+-----------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------------------------+
| first_seen          | last_restarted      | orp  | dirp | platform              | cc   | as_name                             | nickname           | fingerprint                              | flags                                 |
+---------------------+---------------------+------+------+-----------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------------------------+
| 2014-11-17 03:00:00 | 2015-06-02 22:27:40 | 9001 | 9030 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | FreeAndRiseUp      | 488117CACA7F6A155F04F5E6C6FBC88A4AA78BEC | HSDir Running Stable V2Dir Valid      |
| 2014-11-17 03:00:00 | 2015-06-02 22:27:39 | 9010 | 9039 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Ananke             | 476BA5A9030F18BEC2152EA200F0E2D64080F5BF | Fast Running V2Dir Valid              |
| 2014-11-17 18:00:00 | 2015-06-02 22:27:39 | 9002 | 9031 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | FreeAndRiseUpAgain | 7775D1EFE456781B8CC5D24E7F8C2E133A94F3A1 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-18 01:00:00 | 2015-06-02 22:27:39 | 9004 | 9033 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Loki               | 66AFADF2FECF22254F725A20D88CE19489D28F04 | Fast Running Stable V2Dir Valid       |
| 2014-11-18 01:00:00 | 2015-06-02 22:27:39 | 9003 | 9032 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Barnaby            | A0C30FD63B42DCDE4097C000D2F41AEEA158F064 | HSDir Running Stable V2Dir Valid      |
| 2014-11-18 06:00:00 | 2015-06-02 22:27:39 | 9005 | 9034 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Batman             | 216495D72D3EB16F52D0F98AE69FE21CB09040C3 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-18 06:00:00 | 2015-06-02 22:27:39 | 9007 | 9036 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Scotch             | E87920A8FC9E22D32C3BF0F27F292BB3AD409E74 | Fast Running Stable V2Dir Valid       |
| 2014-11-18 06:00:00 | 2015-06-02 22:27:39 | 9009 | 9038 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Chronos            | 687C9EC1042666EB9A5E4743CA7C77FAE50829A9 | Fast HSDir Running Stable V2Dir Valid |
| 2014-11-18 06:00:00 | 2015-06-02 22:27:39 | 9006 | 9035 | Tor 0.2.4.27 on Linux | us   | Net Access Corporation              | Joker              | 7AEEC962B51CB620692E858080913A7E2E82A117 | Running Stable V2Dir Valid            |
