based on onionoo data from 2015-06-03 20:00:00

likely false positives (see timeing+AS+old list):
- siccam
- Cannabinoid420
- 467A957A5923616A92B63E69030C547F1C546370
- DF6D49F7FF2327B8383B07521CDDF3DF12B5638D
- 9D5BA8ACB8EDFD41F82351B563738CC4DE354A52
- Hackosaurusrex
- 6C405EC95C51E1D796392AAE29CF35B9E9B3468F

+---------------------+---------------------+------+------+---------------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------+
| first_seen          | last_restarted      | orp  | dirp | platform                  | cc   | as_name                             | nickname           | fingerprint                              | flags               |
+---------------------+---------------------+------+------+---------------------------+------+-------------------------------------+--------------------+------------------------------------------+---------------------+
| 2015-06-03 19:00:00 | 2015-06-03 17:57:21 | 9001 | 9030 | Tor 0.2.5.10 on OpenBSD   | se   | Telenor Norge AS                    | siccam             | 9639DFAAC02A10075A68265633FCC19932B68A3A | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:04:03 | 9001 | NULL | Tor 0.2.5.12 on Linux     | de   | myLoc managed IT AG                 | Cannabinoid420     | D59406F5BD297B6C19A31551286FCB890AE899A3 | Running Valid       |
| 2015-06-03 19:00:00 | 2015-06-03 18:05:16 |  443 | NULL | Tor 0.2.4.23 on Windows 7 | ru   | OJSC Vimpelcom                      | default            | 467A957A5923616A92B63E69030C547F1C546370 | Running Valid       |
| 2015-06-03 19:00:00 | 2015-06-03 18:14:53 | 9001 | NULL | Tor 0.2.4.27 on Linux     | de   | Vodafone GmbH                       | astronom           | DF6D49F7FF2327B8383B07521CDDF3DF12B5638D | Running Valid       |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9008 | 9037 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | AlongProxy         | F5E5478BC96AF37BFCE20DE562FD7F437F3BC990 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9009 | 9038 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | IrateConcept       | 3C8FFB73B51B903C11D29D1E20012EB8485C7164 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:30 | 9005 | 9034 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | MightyMercury      | 3981ECBC3A9DABB2C087D60EAB5150F54F0E0475 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9004 | 9033 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | DanalFrequent      | 69B6E785EAC83B672E253761BDD1F282BCA65459 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9010 | 9039 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | ObnoxiousLiar      | 589C81B4619E00606E7D5B5E31F0A884D0887036 | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9003 | 9032 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | CapitalDensity     | 9424270479BC1E7C6C6AB6B4132B78DF355993AF | Running V2Dir Valid |
| 2015-06-03 19:00:00 | 2015-06-03 18:22:31 | 9001 | 9030 | Tor 0.2.4.27 on Linux     | us   | Global Net Access, LLC              | LocustModest       | 3AFA6261B0567043B06D8F8F39B12CA1EB8617EB | Running V2Dir Valid |
