+----------------+---------------------+---------------------+---------------------+---------+----------+------------------------------------------+
| IP             | first_seen          | last_restarted      | last_seen           | or_port | dir_port | fingerprint                              |
+----------------+---------------------+---------------------+---------------------+---------+----------+------------------------------------------+
| 137.226.113.13 | 2015-04-22 18:00:00 | 2015-04-26 20:17:44 | 2015-05-01 21:00:00 |    9001 |     9030 | 03B5FFE6BEDE9CE62F3BBC5FDC55C2475220B98C |
| 137.226.113.13 | 2015-04-22 18:00:00 | 2015-04-26 20:18:09 | 2015-05-01 21:00:00 |    9002 |     9031 | 087B927D26D8485242C58A4D91A0E60BEDEF985F |
| 137.226.113.20 | 2015-04-22 19:00:00 | 2015-04-26 20:31:22 | 2015-05-01 21:00:00 |    9002 |     9031 | 1B27D54546A28F56E101240F4A2F2B66963370A8 |
| 137.226.113.20 | 2015-04-22 19:00:00 | 2015-04-26 20:31:45 | 2015-05-01 21:00:00 |    9001 |     9030 | 130E1E0AA8A9763996FC50EFA8F737B52F79E076 |
| 137.226.113.21 | 2015-04-26 21:00:00 | 2015-04-26 20:37:10 | 2015-05-01 21:00:00 |    9002 |     9031 | 2B8D412E274BCA3691C4807C2B58E7D8E1ABA444 |
| 137.226.113.21 | 2015-04-22 19:00:00 | 2015-04-26 20:37:27 | 2015-05-01 21:00:00 |    9001 |     9030 | 2371CF49D505B5465213FD1F97242C1C83D11B55 |
| 137.226.113.19 | 2015-04-22 19:00:00 | 2015-04-26 20:39:12 | 2015-05-01 22:00:00 |    9001 |     9030 | 3424347E6E6E3E8BA4F032D8C03A683042B1B669 |
| 137.226.113.19 | 2015-04-22 19:00:00 | 2015-04-26 20:39:27 | 2015-05-01 22:00:00 |    9002 |     9031 | 3C7884DCD00A55D2BBD2D5EE4173A57564505A66 |
| 137.226.113.17 | 2015-04-22 20:00:00 | 2015-04-26 20:45:32 | 2015-05-01 22:00:00 |    9001 |     9030 | 446C5230CAAB8CA7875A8CB8C48AC51B42651404 |
| 137.226.113.17 | 2015-04-22 20:00:00 | 2015-04-26 20:45:47 | 2015-05-01 22:00:00 |    9002 |     9031 | 4B826D728E880D0E17FE8F62E01DB6761BE73DC9 |
| 137.226.113.10 | 2015-04-23 09:00:00 | 2015-04-26 20:53:58 | 2015-05-01 20:00:00 |    9001 |     9030 | 5405E979F0BAA2CD5E8A6A9273E6AE2EDD69D362 |
| 137.226.113.10 | 2015-04-23 09:00:00 | 2015-04-26 20:54:17 | 2015-05-01 20:00:00 |    9002 |     9031 | 5C8482323F8443780763BACB390AAD81220DE392 |
| 137.226.113.22 | 2015-04-23 09:00:00 | 2015-04-26 20:57:28 | 2015-05-01 22:00:00 |    9001 |     9030 | 64AA3685EFBC8149A13BA639239821E4256AFCCD |
| 137.226.113.22 | 2015-04-23 09:00:00 | 2015-04-26 20:57:41 | 2015-05-01 22:00:00 |    9002 |     9031 | 6BC6730C9908E3EFE6E456F2DCC9FCCAC3EB5C2C |
| 137.226.113.12 | 2015-04-23 09:00:00 | 2015-04-26 21:16:55 | 2015-05-01 22:00:00 |    9001 |     9030 | 73827B05C78220B8E7284BEB439AA6260C6BD0A7 |
| 137.226.113.12 | 2015-04-23 09:00:00 | 2015-04-26 21:17:33 | 2015-05-01 22:00:00 |    9002 |     9031 | 7C393EDF8446A79CC2823C928D759E3876554C9A |
| 137.226.113.15 | 2015-04-23 10:00:00 | 2015-04-26 21:21:21 | 2015-05-01 23:00:00 |    9001 |     9030 | 83A00667720ACE206CAA0CB4C3C2F8210EAF416E |
| 137.226.113.15 | 2015-04-23 10:00:00 | 2015-04-26 21:21:35 | 2015-05-01 22:00:00 |    9002 |     9031 | 8B02E272F23B4E60142C2ADAABD40D6959DA975B |
| 137.226.113.16 | 2015-04-23 10:00:00 | 2015-04-26 21:24:43 | 2015-05-01 22:00:00 |    9001 |     9030 | 93FE0DDEDB6ACFA13FA596673356E291DE549D7B |
| 137.226.113.16 | 2015-04-23 10:00:00 | 2015-04-26 21:24:54 | 2015-05-01 22:00:00 |    9002 |     9031 | 9BF8A94B43F6DF719164032A0E3ED082B47778D2 |
| 137.226.113.18 | 2015-04-26 22:00:00 | 2015-04-26 21:35:14 | 2015-05-01 23:00:00 |    9001 |     9030 | A3BDA0EF4FCAB95AF0BF10121F6644FC11796411 |
| 137.226.113.18 | 2015-04-23 10:00:00 | 2015-04-26 21:35:59 | 2015-05-01 23:00:00 |    9002 |     9031 | ABF2E0AA2CA1FC8FD89F283C065391D5070DEDBE |
